-,-,-
--at-
-87172 7.948 40.47
341.308594, -20.263672, 528.320312
-,-,-
-290.771484, -1.220703, 796.875000
-313.720703, 4.882812, 780.273438
-137.451172, -53.466797, 860.839844
-154.541016, -29.052734, 843.750000
-173.095703, -190.185547, 985.839844
-1.220703, -233.154297, 1093.261719
-9.521484, -350.830078, 1017.089844
144.042969, -269.775391, 1138.183594
130.859375, -244.873047, 1285.156250
248.046875, -246.337891, 1186.523438
250.976562, -21.240234, 1182.617188
362.792969, -136.474609, 1465.820312
198.242188, -98.388672, 1341.796875
217.285156, -116.943359, 1462.890625
116.699219, -108.154297, 1540.039062
192.871094, -210.693359, 1572.265625
128.417969, -276.123047, 1334.960938
156.738281, -237.060547, 1044.921875
295.410156, -206.298828, 400.390625
169.433594, 74.707031, 364.746094
-,-,-
-314.697266, 205.078125, 579.101562
-256.591797, 134.765625, 648.925781
-290.771484, 115.722656, 641.113281
-131.591797, 11.718750, 664.062500
-131.591797, -18.310547, 809.570312
-97.412109, -106.201172, 854.980469
67.382812, -235.595703, 1026.367188
54.687500, -208.740234, 1198.242188
170.898438, -198.486328, 1166.503906
188.964844, -291.748047, 1333.007812
264.160156, -233.642578, 1239.746094
346.191406, -108.154297, 1412.109375
259.277344, -143.310547, 1601.562500
226.562500, -113.037109, 1630.859375
104.492188, -145.751953, 1481.933594
129.882812, -111.572266, 1571.289062
144.531250, -160.400391, 1395.507812
30.273438, -154.052734, 1230.468750
250.976562, -188.720703, 876.464844
125.000000, -155.029297, 601.562500
384.765625, -9.521484, 375.976562
568.847656, -49.560547, 196.289062
439.453125, -86.669922, 493.652344
-,-,-
-344.970703, 25.390625, 626.464844
-236.083984, -53.955078, 586.914062
-316.162109, -55.419922, 773.925781
-68.115234, -122.802734, 930.664062
-193.115234, -214.111328, 1006.835938
135.742188, -213.623047, 982.910156
276.367188, -195.068359, 1431.640625
163.085938, -226.318359, 1453.613281
241.699219, -102.783203, 1361.328125
310.058594, -164.794922, 1458.984375
171.875000, -159.423828, 1320.312500
206.542969, -126.708984, 1379.882812
90.820312, -154.052734, 1393.554688
156.250000, -168.701172, 1472.656250
289.062500, -205.322266, 1491.210938
378.906250, -262.939453, 1477.050781
322.265625, -358.154297, 1327.636719
340.820312, -242.919922, 766.601562
207.031250, -154.052734, 319.824219
-,-,-
-340.576172, 139.648438, 708.496094
-129.150391, -22.216797, 769.531250
-114.501953, 26.855469, 761.718750
-79.345703, -76.904297, 805.175781
-65.673828, -70.068359, 1081.054688
-95.458984, -27.099609, 891.601562
144.042969, -207.275391, 1066.406250
-70.556641, -72.509766, 963.867188
152.832031, -200.439453, 1175.781250
93.750000, -225.341797, 1380.859375
125.000000, -69.091797, 1336.914062
180.175781, -129.150391, 1477.050781
48.828125, -3.173828, 1289.550781
58.593750, -26.611328, 1491.210938
112.792969, -109.130859, 1462.890625
105.468750, -175.537109, 1594.726562
147.949219, -192.138672, 1384.765625
301.757812, -250.732422, 1227.539062
387.207031, -288.818359, 613.281250
-,-,-
-357.666016, 207.519531, 641.601562
-232.666016, 36.132812, 785.156250
-172.607422, 44.433594, 910.156250
-149.658203, 35.156250, 806.152344
-147.705078, -114.990234, 898.437500
-33.935547, -14.892578, 865.234375
-48.583984, -161.376953, 923.828125
-8.056641, -584.228516, 1334.960938
85.449219, -67.626953, 1171.875000
91.796875, -323.974609, 1527.343750
67.382812, -97.412109, 1238.281250
280.273438, -68.603516, 1236.328125
265.625000, -97.412109, 1518.554688
235.351562, 17.089844, 1619.140625
288.574219, -88.134766, 1744.140625
107.910156, 51.757812, 1756.835938
227.539062, -269.287109, 1580.078125
229.003906, -425.048828, 1197.753906
301.269531, -254.150391, 206.542969
282.226562, 44.433594, -109.130859
342.285156, 83.984375, 139.648438
-,-,-
-139.892578, 61.523438, 561.523438
-29.052734, -35.888672, 877.929688
-15.380859, -124.755859, 951.171875
-3.173828, -241.943359, 1074.218750
180.175781, -185.791016, 1132.324219
2.929688, -257.568359, 1347.167969
72.265625, -244.873047, 1439.453125
124.511719, -51.513672, 1140.136719
225.585938, -115.966797, 1388.671875
95.214844, -115.966797, 1222.656250
192.382812, -55.419922, 1279.785156
134.277344, -53.466797, 1324.707031
60.546875, -77.880859, 1318.847656
77.636719, -110.107422, 1366.210938
157.226562, -199.951172, 1507.324219
204.589844, -276.123047, 1565.429688
364.257812, -402.099609, 1333.984375
314.453125, -285.888672, 996.093750
424.804688, -160.888672, 465.820312
-,-,-
-90.576172, 67.382812, 790.039062
-148.681641, 58.105469, 878.417969
-73.974609, 21.484375, 882.324219
36.621094, -112.060547, 1035.644531
-32.958984, -41.259766, 1006.835938
90.332031, -224.365234, 1177.734375
65.429688, -177.490234, 1128.906250
65.429688, -152.099609, 1083.984375
204.101562, -198.486328, 1398.925781
212.890625, -113.037109, 1168.457031
284.667969, -128.173828, 1239.257812
322.265625, -76.904297, 1238.281250
211.914062, -84.228516, 1243.164062
197.753906, -74.462891, 1337.890625
226.074219, -75.439453, 1471.679688
172.363281, -165.771484, 1660.156250
146.972656, -216.064453, 1537.109375
145.996094, -202.392578, 1223.632812
125.976562, -90.576172, 722.656250
279.785156, -62.255859, 405.273438
125.000000, 91.796875, 325.195312
381.347656, 46.386719, 297.851562
-,-,-
-218.994141, 219.238281, 758.789062
-171.142578, 137.695312, 784.179688
-123.779297, 43.457031, 870.117188
-130.615234, -45.654297, 902.343750
-83.251953, -63.232422, 903.808594
142.578125, -207.763672, 1196.289062
-1.220703, -16.357422, 1112.792969
50.292969, -91.552734, 1178.710938
52.246094, -99.853516, 1239.746094
20.507812, -5.126953, 1048.828125
219.726562, -44.189453, 1137.695312
58.593750, -110.107422, 1062.500000
260.253906, -146.728516, 1176.757812
394.042969, -138.427734, 1167.480469
196.777344, -64.208984, 1140.136719
306.152344, -130.126953, 1387.695312
279.296875, -62.255859, 1484.375000
251.953125, -106.201172, 1652.343750
158.203125, -190.673828, 1686.035156
255.859375, -172.607422, 1451.171875
105.468750, -152.099609, 880.371094
140.625000, -85.693359, 416.503906
-,-,-
-239.990234, 81.054688, 900.878906
-236.572266, 145.019531, 760.253906
-151.611328, 122.070312, 742.187500
-389.892578, -21.240234, 604.492188
-427.001953, -78.857422, 421.875000
-536.376953, -87.158203, 411.132812
-241.943359, -159.423828, 507.812500
-29.052734, -1.708984, 939.453125
-21.240234, 11.718750, 1145.996094
392.578125, -31.494141, 1717.285156
597.656250, -15.869141, 1999.755859
219.726562, -152.099609, 1999.755859
-126.220703, -175.048828, 1822.265625
-12.939453, -111.083984, 1512.695312
127.441406, -89.111328, 1136.718750
250.976562, -36.865234, 960.449219
489.746094, 17.089844, 661.132812
276.367188, -33.935547, 575.195312
355.957031, -41.259766, 553.710938
338.867188, -6.591797, 285.644531
-,-,-
-235.595703, 209.960938, 786.132812
-318.603516, 106.445312, 928.222656
-283.935547, 177.734375, 807.617188
-271.240234, 124.023438, 823.242188
-385.498047, 62.500000, 759.765625
-348.388672, 64.453125, 617.187500
-212.646484, 81.054688, 711.914062
-147.705078, 94.726562, 730.468750
-26.611328, 104.492188, 714.843750
295.898438, 170.898438, 916.015625
306.640625, 153.320312, 906.738281
382.324219, 116.699219, 1000.000000
675.781250, -128.173828, 1054.687500
125.976562, -43.212891, 1173.828125
112.304688, 128.906250, 1228.515625
-28.564453, 73.730469, 1344.726562
23.437500, 93.750000, 1476.562500
139.160156, 55.175781, 1774.414062
160.644531, 70.800781, 1746.093750
-,-,-
-47.607422, -25.146484, 876.953125
-90.087891, -114.501953, 819.335938
-50.537109, -186.767578, 810.546875
-104.248047, -268.310547, 797.851562
-13.916016, -237.060547, 750.000000
57.128906, -276.123047, 804.199219
150.878906, -583.740234, 869.140625
256.347656, -381.591797, 1020.996094
235.351562, -287.841797, 1220.214844
372.070312, -298.095703, 1507.324219
343.261719, -314.208984, 1901.367188
368.652344, -274.169922, 1835.937500
298.339844, -232.666016, 1656.250000
295.898438, -359.130859, 1514.160156
263.183594, -392.333984, 1124.023438
359.375000, -365.478516, 658.203125
377.929688, -63.232422, 557.617188
190.917969, -87.646484, 453.125000
-,-,-
-210.693359, 101.074219, 746.093750
-167.724609, 146.484375, 896.484375
-79.833984, 32.226562, 809.570312
-98.388672, 35.156250, 897.460938
-55.419922, -56.884766, 948.242188
-32.470703, -110.107422, 807.128906
-29.052734, -153.076172, 895.507812
217.285156, -209.716797, 882.324219
172.363281, -240.966797, 1093.261719
241.699219, -210.693359, 1194.824219
290.039062, -168.701172, 1296.386719
191.406250, -86.181641, 1351.074219
180.664062, -143.310547, 1238.281250
139.160156, -66.162109, 1348.144531
148.925781, -23.193359, 1523.437500
153.808594, -23.193359, 1682.617188
137.207031, -45.166016, 1731.445312
140.625000, -74.951172, 1530.273438
135.742188, -145.751953, 1214.843750
238.281250, -321.533203, 751.464844
263.671875, -44.189453, 433.593750
-,-,-
-388.427734, 82.031250, 748.046875
-370.361328, 103.027344, 659.179688
-290.771484, 4.882812, 611.328125
-316.650391, -77.880859, 723.632812
-169.189453, -119.873047, 775.878906
-67.626953, -192.138672, 891.113281
57.128906, -111.083984, 1089.355469
241.699219, -117.431641, 1111.328125
209.472656, -103.759766, 1406.250000
335.449219, -115.478516, 1299.316406
262.207031, -67.626953, 1447.265625
214.355469, -21.240234, 1479.980469
120.605469, -43.212891, 1471.679688
94.238281, 21.484375, 1510.742188
63.964844, 55.664062, 1692.382812
6.347656, 78.125000, 1564.453125
193.847656, -29.541016, 1356.445312
155.273438, -123.779297, 1090.332031
492.187500, -97.412109, 574.707031
118.164062, -35.400391, 216.796875
-,-,-
-462.646484, -55.908203, 728.027344
-359.130859, -99.853516, 835.937500
-282.958984, -91.552734, 815.429688
-370.849609, -170.654297, 816.406250
-111.083984, -61.279297, 906.738281
-180.419922, -104.248047, 864.257812
122.558594, -105.224609, 979.492188
50.292969, -154.052734, 1220.214844
306.152344, -116.455078, 1258.789062
225.585938, 37.109375, 1546.386719
176.757812, 43.945312, 1635.253906
153.808594, 74.218750, 1690.429688
81.542969, -16.357422, 1651.367188
-41.748047, 132.324219, 1567.382812
23.437500, 104.980469, 1414.062500
67.871094, -39.794922, 1197.753906
162.109375, -64.208984, 1036.621094
38.574219, 12.695312, 744.140625
229.980469, -113.525391, 482.421875
400.878906, 71.777344, 412.109375
-,-,-
-174.072266, 108.398438, 759.765625
-123.779297, 125.000000, 747.070312
-215.576172, 28.320312, 799.804688
-354.736328, -25.146484, 772.949219
-161.376953, -27.587891, 697.265625
-252.685547, -95.458984, 792.968750
-63.720703, -32.958984, 751.464844
-8.544922, -62.255859, 895.507812
49.316406, -148.193359, 1125.000000
52.734375, -158.935547, 1192.871094
173.828125, -120.361328, 1560.546875
30.273438, -322.998047, 1832.031250
19.042969, -319.580078, 1972.167969
17.578125, -179.931641, 1636.230469
5.371094, -144.775391, 1377.929688
44.921875, -50.537109, 1086.425781
153.320312, 3.906250, 833.984375
-,-,-
-175.048828, 117.675781, 818.359375
-15.380859, 36.132812, 874.023438
24.902344, -26.611328, 831.542969
-250.732422, -112.060547, 826.171875
-281.494141, -197.998047, 875.000000
-175.537109, -140.380859, 794.921875
-231.201172, -269.287109, 1019.042969
6.347656, -255.615234, 1001.953125
-36.865234, -213.623047, 1035.156250
151.855469, -362.548828, 1445.312500
255.859375, -184.326172, 1259.765625
146.484375, -314.208984, 1594.726562
99.609375, -189.208984, 1574.218750
-31.982422, -193.115234, 1605.468750
-30.517578, -269.287109, 1620.117188
-151.123047, -305.908203, 1450.195312
57.128906, -178.955078, 968.750000
-,-,-
-152.587891, 70.312500, 839.843750
-264.404297, -85.205078, 833.007812
-239.990234, -78.857422, 839.843750
-173.095703, -69.091797, 651.367188
-168.701172, -185.302734, 624.511719
-114.501953, -222.412109, 652.343750
-60.302734, -233.642578, 784.179688
36.132812, -341.552734, 1126.953125
351.074219, -124.267578, 1226.074219
151.367188, -341.064453, 1948.730469
623.535156, 22.460938, 1634.277344
521.972656, -32.958984, 1726.562500
403.320312, -20.263672, 1657.226562
459.472656, 95.703125, 1388.671875
317.871094, 134.765625, 1324.707031
249.023438, 16.113281, 1124.023438
234.863281, 94.726562, 875.000000
34.179688, -138.427734, 657.226562
60.546875, 20.507812, 408.203125
261.230469, 289.062500, 301.269531
-,-,-
-294.189453, -9.521484, 661.132812
-428.955078, -135.498047, 630.371094
-315.673828, -260.986328, 516.113281
-135.986328, -176.025391, 812.500000
-112.548828, -372.802734, 795.898438
217.285156, -247.314453, 932.128906
49.316406, -364.013672, 956.054688
222.167969, -275.634766, 1300.292969
471.191406, 44.433594, 1446.777344
407.226562, -139.404297, 1532.714844
527.343750, 113.769531, 1601.562500
450.195312, 42.968750, 1690.429688
250.976562, -86.181641, 1590.820312
-,-,-
-71.533203, 183.593750, 1007.324219
-99.365234, 169.921875, 973.632812
-15.380859, 228.515625, 987.792969
-46.630859, 109.375000, 807.617188
-209.716797, -13.916016, 766.601562
-368.896484, -218.994141, 486.328125
-515.869141, -279.541016, 482.421875
-427.001953, -467.529297, 457.031250
-134.521484, -449.462891, 968.750000
82.519531, -394.287109, 1151.855469
554.199219, -44.189453, 1285.156250
789.062500, 297.363281, 1680.175781
888.671875, 208.984375, 1732.421875
704.589844, 95.703125, 1724.609375
659.179688, 92.773438, 1593.750000
609.375000, 26.855469, 1407.226562
-,-,-
-380.615234, -46.630859, 743.164062
